id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;country;time_zone;is_city;is_main_station;is_airport;is_suggestable;country_hint;main_station_hint;sncf_id;sncf_tvs_id;sncf_is_enabled;idtgv_id;idtgv_is_enabled;db_id;db_is_enabled;busbud_id;busbud_is_enabled;distribusion_id;distribusion_is_enabled;flixbus_id;flixbus_is_enabled;cff_id;cff_is_enabled;leoexpress_id;leoexpress_is_enabled;obb_id;obb_is_enabled;ouigo_id;ouigo_is_enabled;trenitalia_id;trenitalia_is_enabled;trenitalia_rtvt_id;ntv_rtiv_id;ntv_id;ntv_is_enabled;hkx_id;hkx_is_enabled;renfe_id;renfe_is_enabled;atoc_id;atoc_is_enabled;benerail_id;benerail_is_enabled;westbahn_id;westbahn_is_enabled;sncf_self_service_machine;same_as;info:de;info:en;info:es;info:fr;info:it;info:nb;info:nl;info:cs;info:da;info:hu;info:ja;info:ko;info:pl;info:pt;info:ru;info:sv;info:tr;info:zh;normalised_code;iata_airport_code
11453;Dorheim (Wetterau);dorheim-wetterau;8011385;;50.352698;8.790506;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001504;t;;f;;f;;f;;f;;f;8001504;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11453;
11454;Dortmund-Huckarde;dortmund-huckarde;8010437;;51.532622;7.402356;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001505;t;;f;;f;;f;;f;;f;8001505;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11454;
11455;Dormagen;dormagen;8015308;;51.09963;6.814641;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001506;t;;f;;f;;f;;f;;f;8001506;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;Дормаген;;;多爾馬根;urn:trainline:public:nloc:csv11455;
11456;Dormagen Bayerwerk;dormagen-bayerwerk;8015310;;51.07704;6.838175;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001507;t;;f;;f;;f;;f;;f;8001507;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11456;
11457;Groß Gerau-Dornheim;gross-gerau-dornheim;8011244;;49.87751;8.493655;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001511;t;;f;;f;;f;;f;;f;8001511;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11457;
11458;Dortelweil;dortelweil;8011153;;50.207558;8.751115;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001514;t;u0pwsu;t;;f;11468;t;;f;;f;8001514;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11458;
11459;Dortmund-Scharnhorst;dortmund-scharnhorst;8010030;;51.538429;7.53652;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001515;t;;f;;f;;f;;f;;f;8001515;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11459;
11460;Dortmund-Lütgendortmund;dortmund-lutgendortmund;8010112;;51.50054;7.333966;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001516;t;;f;;f;;f;;f;;f;8001516;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11460;
11461;Dortmund Knappschaftskrankenhaus;dortmund-knappschaftskrankenhaus;8010052;;51.51877;7.537455;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001517;t;;f;;f;;f;;f;;f;8001517;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11461;
11462;Dortmund Möllerbrücke;dortmund-mollerbrucke;8010046;;51.50712;7.452201;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001518;t;;f;;f;;f;;f;;f;8001518;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11462;
11463;Dortmund-Nette/Oestrich;dortmund-nette-oestrich;8010439;;51.561496;7.377734;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001519;t;;f;;f;;f;;f;;f;8001519;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11463;
11464;Dortmund Stadthaus;dortmund-stadthaus;8010029;;51.50783;7.468768;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001520;t;;f;;f;;f;;f;;f;8001520;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11464;
11465;Dortmund Tierpark;dortmund-tierpark;8010084;;51.478013;7.462098;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001521;t;;f;;f;;f;;f;;f;8001521;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11465;
11466;Dortmund Signal Iduna Park;dortmund-signal-iduna-park;8010083;;51.490742;7.457325;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001522;t;;f;;f;;f;;f;;f;8001522;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11466;
11467;Dortmund-Aplerbeck;dortmund-aplerbeck;8010080;;51.490175;7.551289;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001523;t;;f;;f;;f;;f;;f;8001523;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11467;
